,Name,Society,Award,Year,Location,Data Source,Gender,pred_gender
556,"Hikoo Shirakabe, MD",Society for Abdominal Radiology,Walter B. Cannon Medal Award,1985,,https://pubs.rsna.org/doi/abs/10.1148/radiology.196.2.584-a?journalCode=radiology,1,male
557,"Robert N. Berk, MD",Society for Abdominal Radiology,Walter B. Cannon Medal Award,1984,,http://adminrecords.ucsd.edu/Notices/2017/2017-9-29-5.html,1,male
558,"Martin W. Donner, MD",Society for Abdominal Radiology,Walter B. Cannon Medal Award,1983,,https://pubs.rsna.org/doi/abs/10.1148/radiology.186.1.289?journalCode=radiology,1,unknown
559,"H. Joachim Burhenne, MD",Society for Abdominal Radiology,Walter B. Cannon Medal Award,1982,,https://pubs.rsna.org/doi/abs/10.1148/radiology.201.2.584-a?journalCode=radiology,1,unknown
560,"Sidney W. Nelson, MD",Society for Abdominal Radiology,Walter B. Cannon Medal Award,1981,,https://www.legacy.com/obituaries/name/sidney-nelson-obituary?pid=18545875,1,unknown
561,"Roscoe E. Miller, MD",Society for Abdominal Radiology,Walter B. Cannon Medal Award,1980,,https://pubs.rsna.org/doi/abs/10.1148/radiology.155.2.537-a?journalCode=radiology,1,unknown
562,"William B. Seaman, MD",Society for Abdominal Radiology,Walter B. Cannon Medal Award,1979,,https://www.nytimes.com/2004/06/27/classified/paid-notice-deaths-seaman-william.html,1,male
563,"Bernard Wolf, MD (posthumously)",Society for Abdominal Radiology,Walter B. Cannon Medal Award,1978,,https://pubs.rsna.org/doi/abs/10.1148/126.3.827?journalCode=radiology,1,male
564,"Alexander R. Margulis, MD",Society for Abdominal Radiology,Walter B. Cannon Medal Award,1977,,https://radiology.ucsf.edu/blog/alexander-r-margulis-md-1921-2018,1,male
565,"John J. Cronan, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2018,,www.abdominalradiology.org,1,male
566,"Peter L. Choyke, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2017,,www.abdominalradiology.org,1,male
567,"Philip J. Kenney, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2016,,www.abdominalradiology.org,1,unknown
568,"Hedvig Hricak, MD, PhD",Society for Abdominal Radiology,Howard M. Pollack Medal,2015,,https://www.mskcc.org/cancer-care/doctors/hedvig-hricak,2,unknown
569,"William Bush, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2014,,https://health.usnews.com/doctors/william-bush-602063,1,male
570,"Richard L. Clark, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2013,,https://www.med.unc.edu/radiology/directory/richard-clark/,1,female
571,"Carl M. Sandler, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2012,,https://pubs.rsna.org/doi/full/10.1148/radiol.12124045,1,unknown
572,"Bruce Hillman, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2011,,https://med.virginia.edu/radiology-research/bruce-hillman-md/,1,unknown
573,"Jeffrey Newhouse, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2010,,https://www.columbiadoctors.org/jeffrey-h-newhouse-md,1,unknown
574,"Bruce L. McClennan, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2009,,https://medicine.yale.edu/profile/bruce_mcclennan/,1,unknown
575,"E. Stephen Amis, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2008,,https://einsteinmed.org/faculty/7686/e-stephen-amis-jr/,1,unknown
576,"N. Reed Dunnick, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2008,,https://medicine.umich.edu/dept/radiology/n-reed-dunnick-md,1,male
577,"Robert L. Lebowitz, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2007,,https://www.doximity.com/pub/robert-lebowitz-md,1,male
578,"Lee B. Talner, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2006,,https://health.usnews.com/doctors/lee-talner-1108301,1,male
579,"Robert R. Hattery, Jr., MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2005,,https://www.myesr.org/article/77,1,male
580,"John R. Thornbury, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2005,,https://obits.mlive.com/obituaries/annarbor/obituary.aspx?n=john-r-thornbury&pid=186040810&fhid=6480,1,male
581,"Richard C. Pfister, MD (posthumously)",Society for Abdominal Radiology,Howard M. Pollack Medal,2004,,,,female
582,"David M. Witten, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2003,,https://www.saintlukeskc.org/about/news/dr-witten-legacy-gives-back,1,male
583,"Alan J. Davidson, MD ",Society for Abdominal Radiology,Howard M. Pollack Medal,2002,,https://www.doximity.com/pub/alan-davidson-md-0dea6072,1,male
584,"Richard M. Friedenberg, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2002,,https://pubs.rsna.org/doi/full/10.1148/radiol.2017174008,1,female
585,"Morton A. Bosniak, MD ",Society for Abdominal Radiology,Howard M. Pollack Medal,2001,,"https://pubs.rsna.org/doi/full/10.1148/radiol.2016164037#:~:text=Dr%20Bosniak%20was%20born%20on,residency%20at%20New%20York%20Hospital.",1,unknown
586,"Harry Z. Mellins, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,2001,,https://pubs.rsna.org/doi/full/10.1148/radiol.2522092520,1,male
587,"Milton Elkin, MD ",Society for Abdominal Radiology,Howard M. Pollack Medal,1998,,https://pubs.rsna.org/doi/abs/10.1148/radiology.138.2.495?journalCode=radiology,1,unknown
588,"Howard M. Pollack, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,1998,,https://pubs.rsna.org/doi/abs/10.1148/radiology.219.2.r01ma36579?journalCode=radiology,1,male
589,"Harry W. Fischer, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,1997,,https://health.usnews.com/doctors/harry-fischer-36068,1,male
590,"Joshua A. Becker, MD",Society for Abdominal Radiology,Howard M. Pollack Medal,1996,,https://health.usnews.com/doctors/joshua-becker-318689,1,male
591,"Herb Kressel, MD, FSAR",Society for Abdominal Radiology,Lifetime Achievement Award,2018,,www.abdominalradiology.org,1,male
592,"Michael Bettmann, MD, FSAR",Society for Abdominal Radiology,Lifetime Achievement Award,2018,,www.abdominalradiology.org,1,male
593,"John P. McGahan, MD",Society for Abdominal Radiology,Lifetime Achievement Award,2017,,www.abdominalradiology.org,1,male
594,"Nicholas Papanicolaou, MD",Society for Abdominal Radiology,Lifetime Achievement Award,2017,,www.abdominalradiology.org,1,unknown
595,"R. Brooke Jeffrey, Jr., MD",Society for Abdominal Radiology,Lifetime Achievement Award,2016,,www.abdominalradiology.org,1,unknown
596,"Isaac R. Francis, MD",Society for Abdominal Radiology,Lifetime Achievement Award,2016,,www.abdominalradiology.org,1,unknown
597,"Joseph F. Simeone, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2015,,https://www.massgeneral.org/doctors/16617/joseph-simeone,1,male
598,"Bruce R. Baumgartner, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2015,,https://www.doximity.com/pub/bruce-baumgartner-md,1,unknown
599,"Robert Mattrey, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2014,,https://utswmed.org/doctors/robert-mattrey/,1,male
600,"J. William Charboneau, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2014,,https://www.rsna.org/news/2017/october/rsna-2017-gold-medal-william-charboneau,1,male
601,"Suresh K. Patel, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2013,,https://health.usnews.com/doctors/suresh-patel-443611,1,unknown
602,"Ali Shirkhoda, MD, FACR (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2013,,https://www.doximity.com/pub/ali-shirkhoda-md,1,male
603,"Jelle O. Barentsz, MD, PhD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2012,,https://www.researchgate.net/profile/Jelle-Barentsz/2,1,unknown
604,"Joel E. Lichtenstein, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2012,,https://health.usnews.com/doctors/joel-lichtenstein-1068811,1,unknown
605,"Syed Zafar Jafri, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2011,,,,male
606,"Harold A. Mitty, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2011,,https://health.usnews.com/doctors/harold-mitty-208527,1,unknown
607,"Francis J. Scholz, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2011,,https://physicians.lahey.org/details/840/francis-scholz-radiology-burlington,1,unknown
608,"Mary Ann Turner, MD (GI)",Society for Abdominal Radiology,Lifetime Achievement Award,2011,,https://radiology.vcu.edu/divisions/diagnostic-radiology/abdominal-imaging/mary-ann-turner-md-facr-fsar.html,2,male
609,"Marco A. Amendola, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2010,,https://www.doximity.com/pub/marco-amendola-md,1,male
610,"Henrik S. Thomsen, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2010,,https://www.researchgate.net/profile/Henrik-Thomsen-2,1,unknown
611,"David S. Hartman, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2009,,https://health.usnews.com/doctors/david-hartman-336525,1,male
612,"Stanford M. Goldman, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2008,,https://med.uth.edu/radiology/faculty/stanford-m-goldman-m-d/,1,unknown
613,"Neil Wasserman, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2008,,https://health.usnews.com/doctors/neil-wasserman-42709,1,male
614,"Melvyn T. Korobkin, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2007,,https://medicine.umich.edu/dept/radiology/giving/professorships/melvyn-t-korobkin-collegiate-professorship-radiology,1,unknown
615,"Arthur J. Segal, MD (GU)",Society for Abdominal Radiology,Lifetime Achievement Award,2007,,https://health.usnews.com/doctors/arthur-segal-292728,1,unknown
616,"Kate Maturen, MD, FSAR",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2020,Michigan,www.abdominalradiology.org,2,male
617,"Erick Remer, MD, FSAR",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2019,Cleveland,www.abdominalradiology.org,1,male
618,"Frank Miller, MD, Northwestern University",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2018,,https://www.feinberg.northwestern.edu/faculty-profiles/az/profile.html?xid=12094,1,male
619,"Christine Menias, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2017,Arizona,https://en.wikipedia.org/wiki/Christine_Menias,2,unknown
620,"Mukesh Harisinghani, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2016,Massechusettes,https://www.massgeneral.org/doctors/17957/mukesh-harisinghani,1,unknown
621,"John Leyendecker, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2015,Texas,https://utswmed.org/doctors/john-leyendecker/,1,male
622,"Desiree E. Morgan, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2014,Alabama,https://www.uab.edu/medicine/radiology/faculty/body-imaging/17-directory/advanced-imaging/72-dmorgan,2,unknown
623,"Perry J. Pickhardt, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2013,Wisconsin,https://radiology.wisc.edu/profile/perry-pickhardt-40/,1,unknown
624,"Benjamin M. Yeh, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2012,California,https://cancer.ucsf.edu/people/yeh.benjamin,1,male
625,"Erik K. Paulson, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2011,Duke University Medical Center,https://radiology.duke.edu/faculty/member/erik-k-paulson/,1,male
626,"Koenraad Mortele, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2010,Brigham and Women’s Hospital,https://www.doximity.com/pub/koenraad-mortele-md,1,unknown
627,"Dushyant Sahani, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2009,Massechucettes,https://rad.washington.edu/radiology-personnel/dsahani/,1,unknown
628,"Judy Yee, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2008,California,https://einsteinmed.org/faculty/15511/judy-yee/,2,unknown
629,"Sharlene Teefey, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2008,Mallinckrodt Institute,https://siteman.wustl.edu/doctor/teefey-sharlene-md/,2,unknown
630,"Angela Levy, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2006,Uniformed Services University of the Health Science,https://www.doximity.com/pub/angela-levy-md,2,female
631,"Michael Macari, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2005,NYU Medical Center,https://pubs.rsna.org/doi/full/10.1148/radiol.12124049,1,male
632,"Jonathan Kruskal, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2004,Beth Israel Deaconess Medical Center,https://findadoc.bidmc.org/details/823/jonathan-kruskal-diagnostic_radiology-boston,1,unknown
633,"Mary Keogan, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2003,St James' Hospital,https://www.doctor.com/Dr-Mary-Keogan,2,male
634,"Ann Fulcher, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2002,Medical College of Virginia,https://medschool.vcu.edu/expertise/detail.html?ID=20,2,male
635,"Gerald Dodd, III, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,2001,University of Colorado Health Science Center,https://pubs.rsna.org/doi/full/10.1148/radiol.2015154052,1,unknown
636,"Jay Heiken, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1999,Mallinckrodt Institute,https://www.mayoclinic.org/biographies/heiken-jay-p-m-d/bio-20395669,1,male
637,"Richard Gore, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1998,Evanston Northwestern Healthcare,https://www.northshore.org/apps/findadoctor/physicians/richard-michael-gore,1,female
638,"C. Daniel Johnson, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1997,Mayo Clinic Arizona,https://en.wikipedia.org/wiki/C._Daniel_Johnson,1,unknown
639,"Susan Wall, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1996,"University of California, San Francisco",https://radiology.ucsf.edu/people/susan-wall,2,male
640,"Richard Baron, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1995,University of Chicago,https://www.uchicagomedicine.org/forefront/news/richard-l-baron-radiologist-and-authority-on-diagnosis-of-liver-disease-1949-2017,1,female
641,"R. Brooke Jeffrey, Jr., MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1994,Stanford University Hospital,https://profiles.stanford.edu/brooke-jeffrey,1,unknown
642,"Dennis M. Balfe, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1993,Mallinckrodt Institute,https://physicians.wustl.edu/people/dennis-m-balfe-md/,1,unknown
643,"Pablo R. Ros, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1992,Brigham and Women's Hospital,https://case.edu/medicine/physician-assistant/about-us/faculty-staff/pablo-r-ros,1,unknown
644,"Joel E. Lichtenstein, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1991,University of Washington,https://health.usnews.com/doctors/joel-lichtenstein-1068811,1,unknown
645,"Emil J. Balthazar, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1990,New Bellevue Hospital,https://health.usnews.com/doctors/emil-balthazar-73438,1,male
646,"Marc S. Levine, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1989,Hospital of the University of Pennsylvania,www.abdominalradiology.org,1,male
647,"David W. Gelfand, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1988,Wake Forest University Baptist Medical Center,,,male
648,"Eric vanSonnenberg, MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1987,Saint Joseph's Hospital Medical Center,https://medadvisement.arizona.edu/person/dr-eric-vansonnenberg,1,male
649,"Wylie J. Dodds, Jr., MD",Society for Abdominal Radiology,Igor Laufer Visiting Professorship Award,1986,Medical College of Wisconsin,https://link.springer.com/content/pdf/10.1007/BF02266981.pdf,1,unknown
650,"Mitchell E. Tublin, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2019,Pittsburg,www.abdominalradiology.org,2,unknown
651,"Matthew S. D. Davenport, MD, FSAR",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2018,,https://cme.utsouthwestern.edu/node/110776/bio/34246/view,2,unknown
652,"Khaled Elsayes, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2017,,https://faculty.mdanderson.org/profiles/khaled_elsayes.html,2,male
653,"Julia Fielding, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2016,,https://utswmed.org/doctors/julia-fielding/,,female
654,"David J. DiSantis, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2015,,https://www.mayoclinic.org/biographies/disantis-david-j-m-d/bio-20208676,2,male
655,"Sudha A. Anupindi, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2014,,https://www.research.chop.edu/people/sudha-a-anupindi,1,male
656,"Frank H. Miller, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2013,,https://www.feinberg.northwestern.edu/faculty-profiles/az/profile.html?xid=12094,2,male
657,"Myron A. Pozniak, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2012,,https://www.uwhealth.org/providers/myron-pozniak-md,2,unknown
658," Jorge A. Soto, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2011,,https://www.bmc.org/about-us/directory/doctor/jorge-soto-md,2,male
659,"Sat Somers, MB ChB",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2010,,https://whxray.com/radiologists/sat-somers/,1,male
660,"Francis Scholz, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2009,,https://physicians.lahey.org/details/840/francis-scholz-radiology-burlington,2,unknown
661,"Andrew Taylor, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2008,,https://profiles.ucsf.edu/andrew.taylor,2,unknown
662,"Giovanna Casola, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2007,,https://providers.ucsd.edu/details/11883/radiology,2,unknown
663,"Dean D.T. Maglinte, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2006,,www.abdominalradiology.org,1,unknown
664,"Robert Halvorsen, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2005,,https://richmond.com/obituaries/halvorsen-robert-jr/article_6dfede0e-f8a2-51a3-8044-b91bd24939d6.html,2,male
665,not awarded,Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2004,,,,unknown
666,"Sharlene Teefey, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2003,,https://siteman.wustl.edu/doctor/teefey-sharlene-md/,2,unknown
667,"Ellen Wolf, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2002,,https://einsteinmed.org/faculty/3892/ellen-wolf/,,female
668,"Eric vanSonnenberg, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2001,,https://medadvisement.arizona.edu/person/dr-eric-vansonnenberg,2,male
669,"Eric vanSonnenberg, MD",Society for Abdominal Radiology,Richard H. Marshak International Lecturer Award,2000,,https://medadvisement.arizona.edu/person/dr-eric-vansonnenberg,2,male
670,"Hiromu Mori, MD",Society for Abdominal Radiology,Distinguished International Member Award,2018,,www.abdominalradiology.org,1,unknown
671,"Gabriel P. Krestin, MD, PhD",Society for Abdominal Radiology,Distinguished International Member Award,2017,,https://ec.europa.eu/programmes/horizon2020/sites/default/files/BIO_Gabriel%20P.%20Krestin.pdf,1,unknown
672,"Byung Ihn Choi, MD",Society for Abdominal Radiology,Distinguished International Member Award,2015,,https://www.myesr.org/article/97,1,unknown
673,"Dermot E. Malone, MD",Society for Abdominal Radiology,Distinguished International Member Award,2010,,https://www.radiology.ie/about-us/faculty-history1,1,unknown
674,"Borut Marincek, MD",Society for Abdominal Radiology,Distinguished International Member Award,2008,,https://www.sharecare.com/doctor/dr-borut-marincek,1,unknown
675,"Nicholas Gourtsoyiannis, MD",Society for Abdominal Radiology,Distinguished International Member Award,2006,,https://www.emedevents.com/speaker-profile/nicholas-gourtsoyiannis,1,unknown
676,Prof. Albert Baert,Society for Abdominal Radiology,Distinguished International Member Award,2005,,https://blog.myesr.org/european-radiology-25-years-of-excellence/,1,male
677,"Clive Bartram, MD",Society for Abdominal Radiology,Distinguished International Member Award,2004,,,,unknown
678,"Mark E. Baker, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2020,,https://my.clevelandclinic.org/staff/1216-mark-baker,1,male
679,"Herbert Y. Kressel, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2020,,https://www.myesr.org/article/112,1,unknown
680,"Howard J. Ansel, MD, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,male
681,"Sachiko Tomie Cochran, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,2,unknown
682,"Michael Federle, MD, FACR, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,male
683,"Patrick C. Freeny, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,unknown
684,"Roger K. Harned MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,male
685,"Hedvig Hricak, MD, PhD, Dr hc",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,2,unknown
686,"Tim B Hunter, MD, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,male
687,"Marc S. Levine, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,male
688,"Joel E. Lichtenstein, MD, FACR, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,unknown
689,"William W. Olmsted, MD, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,male
690,"Charles A. Rohrmann, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,male
691,"Robert J. Stanley, MD, FSAR, FACR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,male
692,"Henrik S. Thomsen, MD, FSAR, MSc",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,unknown
693,"William (Bill) Torres, MD, FSAR",Society for Abdominal Radiology,SAR Member Hall of Fame,2019,,www.abdominalradiology.org,1,male
694,"E. Stephen Amis, Jr., MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1,unknown
695,"Dennis M. Balfe, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1,unknown
696,"Morton I. Burrell, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1,unknown
697,"N. Reed Dunnick, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1,male
698,"Dean D.T. Maglinte, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,1,unknown
699,"Lynne K. Tiras, CMP",Society for Abdominal Radiology,SAR Member Hall of Fame,2018,,www.abdominalradiology.org,2,unknown
700,"David Hartman, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2017,,www.abdominalradiology.org,1,male
701,"Bruce McClennan, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2017,,www.abdominalradiology.org,1,unknown
702,"Marc Banner, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.doximity.com/pub/marc-banner-md,1,male
703,"Morton Bosniak, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://pubs.rsna.org/doi/pdf/10.1148/radiol.2016164037,1,unknown
704,"Robert Brown, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://synergyrad.org/team/robert-brown-m-d/,1,male
705,"Richard Clark, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,female
706,"John Craven, MD",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,male
707,"Alan Davidson, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.doximity.com/pub/alan-davidson-md-0dea6072,1,male
708,"Richard Friedenberg, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://pubs.rsna.org/doi/full/10.1148/radiol.2017174008,1,female
709,"Stanford Goldman, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,unknown
710,"Harvey Goldstein, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.healthgrades.com/physician/dr-harvey-goldstein-3dt3s,1,unknown
711,"Ronald Harris, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,male
712,"Marjorie Hertz, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,,,unknown
713,"Bruce J. Hillman, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,unknown
714,"J. Fred Johnson, III, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,,,male
715,"Melvyn Korobkin, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://pubs.rsna.org/doi/full/10.1148/radiol.2017174009,1,unknown
716,"Robert Lebowitz, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,male
717,"Leon Love, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://pubs.rsna.org/doi/full/10.1148/radiol.2523092528,1,male
718,"Morton Meyers, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,http://www.mortonmeyers.com/about-the-author/,1,unknown
719,"Harold Mitty, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,unknown
720,"Jeffrey Newhouse, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,unknown
721,"Suresh Patel, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,unknown
722,"Theodore Robinson, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.healthgrades.com/physician/dr-theodore-robinson-32nyl,1,unknown
723,"Arthur Rosenfield, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.doximity.com/pub/arthur-rosenfield-md,1,unknown
724,"Francis Scholz, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://physicians.lahey.org/details/840/francis-scholz-radiology-burlington,1,unknown
725,"Arthur J. Segal, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,unknown
726,"Terry Mark Silver, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.doximity.com/pub/terry-silver-md,1,male
727,"Derek Stables, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,unknown
728,"Lee Talner, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,www.abdominalradiology.org,1,male
729,"Ruedi Thoeni, MD ",Society for Abdominal Radiology,SAR Member Hall of Fame,2016,,https://www.healthgrades.com/physician/dr-ruedi-thoeni-2c35c,1,unknown
